data;t;prec;p;rh;wdir;wspd
18/01/2022 21:00;9999;9999;9999;9999;330;3.09
18/01/2022 22:00;9999;9999;9999;9999;290;3.09
19/01/2022 12:00;9999;9999;9999;9999;200;2.06
19/01/2022 13:00;9999;9999;9999;9999;180;2.57
19/01/2022 14:00;9999;9999;9999;9999;200;3.6
19/01/2022 15:00;9999;9999;9999;9999;200;3.09
19/01/2022 16:00;9999;9999;9999;9999;9999;3.09
19/01/2022 17:00;9999;9999;9999;9999;9999;3.09
19/01/2022 18:00;9999;9999;9999;9999;9999;3.09
19/01/2022 19:00;9999;9999;9999;9999;9999;3.09
19/01/2022 20:00;9999;9999;9999;9999;280;3.09
19/01/2022 21:00;9999;9999;9999;9999;9999;4.12
19/01/2022 22:00;9999;9999;9999;9999;300;6.17
20/01/2022 12:00;9999;9999;9999;9999;169;1.03
20/01/2022 13:00;9999;9999;9999;9999;196;1.54
20/01/2022 14:00;9999;9999;9999;9999;66;2.06
20/01/2022 15:00;9999;9999;9999;9999;320;1.54
20/01/2022 16:00;9999;9999;9999;9999;344;3.09
20/01/2022 17:00;9999;9999;9999;9999;297;3.09
20/01/2022 18:00;9999;9999;9999;9999;305;4.63
20/01/2022 19:00;9999;9999;9999;9999;333;4.63
20/01/2022 20:00;9999;9999;9999;9999;296;5.66
20/01/2022 21:00;9999;9999;9999;9999;325;5.66
20/01/2022 22:00;9999;9999;9999;9999;306;5.14
21/01/2022 12:00;9999;9999;9999;9999;170;3.6
21/01/2022 13:00;9999;9999;9999;9999;200;5.14
21/01/2022 14:00;9999;9999;9999;9999;200;3.6
21/01/2022 15:00;9999;9999;9999;9999;150;2.57
21/01/2022 16:00;9999;9999;9999;9999;160;4.12
21/01/2022 17:00;9999;9999;9999;9999;220;2.57
21/01/2022 18:00;9999;9999;9999;9999;320;3.09
21/01/2022 19:00;9999;9999;9999;9999;280;3.6
21/01/2022 20:00;9999;9999;9999;9999;300;4.12
21/01/2022 21:00;9999;9999;9999;9999;300;7.2
21/01/2022 22:00;9999;9999;9999;9999;290;6.17
22/01/2022 12:00;9999;9999;9999;9999;13;5.14
22/01/2022 13:00;9999;9999;9999;9999;13;6.69
22/01/2022 14:00;9999;9999;9999;9999;360;7.72
22/01/2022 15:00;9999;9999;9999;9999;330;6.69
22/01/2022 16:00;9999;9999;9999;9999;340;6.17
22/01/2022 17:00;9999;9999;9999;9999;330;7.2
22/01/2022 18:00;9999;9999;9999;9999;350;3.6
22/01/2022 19:00;9999;9999;9999;9999;300;6.17
22/01/2022 20:00;9999;9999;9999;9999;350;5.14
22/01/2022 21:00;9999;9999;9999;9999;340;5.14
22/01/2022 22:00;9999;9999;9999;9999;300;3.6
23/01/2022 12:00;9999;9999;9999;9999;200;2.57
23/01/2022 13:00;9999;9999;9999;9999;170;4.63
23/01/2022 14:00;9999;9999;9999;9999;170;4.63
23/01/2022 15:00;9999;9999;9999;9999;180;5.14
23/01/2022 16:00;9999;9999;9999;9999;9999;3.09
23/01/2022 17:00;9999;9999;9999;9999;9999;3.6
23/01/2022 18:00;9999;9999;9999;9999;190;4.12
23/01/2022 19:00;9999;9999;9999;9999;9999;2.57
23/01/2022 20:00;9999;9999;9999;9999;200;5.14
23/01/2022 21:00;9999;9999;9999;9999;160;3.09
23/01/2022 22:00;9999;9999;9999;9999;140;3.6
24/01/2022 12:00;9999;9999;9999;9999;183;5.66
24/01/2022 13:00;9999;9999;9999;9999;170;7.72
24/01/2022 14:00;9999;9999;9999;9999;180;5.66
24/01/2022 15:00;9999;9999;9999;9999;172;5.66
24/01/2022 16:00;9999;9999;9999;9999;170;5.66
24/01/2022 17:00;9999;9999;9999;9999;173;5.66
24/01/2022 18:00;9999;9999;9999;9999;199;5.14
24/01/2022 19:00;9999;9999;9999;9999;173;4.63
24/01/2022 20:00;9999;9999;9999;9999;194;5.14
24/01/2022 21:00;9999;9999;9999;9999;182;4.63
24/01/2022 22:00;9999;9999;9999;9999;196;5.14
25/01/2022 12:00;9999;9999;9999;9999;170;5.14
25/01/2022 13:00;9999;9999;9999;9999;170;5.14
25/01/2022 14:00;9999;9999;9999;9999;170;4.12
25/01/2022 15:00;9999;9999;9999;9999;190;2.57
25/01/2022 16:00;9999;9999;9999;9999;190;3.09
25/01/2022 17:00;9999;9999;9999;9999;180;4.12
25/01/2022 18:00;9999;9999;9999;9999;210;4.12
25/01/2022 19:00;9999;9999;9999;9999;240;3.6
25/01/2022 20:00;9999;9999;9999;9999;140;4.12
25/01/2022 21:00;9999;9999;9999;9999;260;3.09
25/01/2022 22:00;9999;9999;9999;9999;260;4.12
26/01/2022 12:00;9999;9999;9999;9999;160;3.09
26/01/2022 13:00;9999;9999;9999;9999;170;3.6
26/01/2022 14:00;9999;9999;9999;9999;160;3.09
26/01/2022 15:00;9999;9999;9999;9999;180;2.57
26/01/2022 16:00;9999;9999;9999;9999;170;3.6
26/01/2022 17:00;9999;9999;9999;9999;180;5.14
26/01/2022 18:00;9999;9999;9999;9999;180;4.12
26/01/2022 19:00;9999;9999;9999;9999;220;3.09
26/01/2022 20:00;9999;9999;9999;9999;210;3.09
26/01/2022 21:00;9999;9999;9999;9999;200;3.6
26/01/2022 22:00;9999;9999;9999;9999;210;2.57
27/01/2022 12:00;9999;9999;9999;9999;10;1.54
27/01/2022 13:00;9999;9999;9999;9999;9999;1.03
27/01/2022 14:00;9999;9999;9999;9999;9999;2.06
27/01/2022 15:00;9999;9999;9999;9999;9999;1.54
27/01/2022 16:00;9999;9999;9999;9999;9999;2.06
27/01/2022 17:00;9999;9999;9999;9999;9999;2.57
27/01/2022 18:00;9999;9999;9999;9999;330;4.12
27/01/2022 19:00;9999;9999;9999;9999;320;4.63
27/01/2022 20:00;9999;9999;9999;9999;320;5.66
27/01/2022 21:00;9999;9999;9999;9999;330;7.2
27/01/2022 22:00;9999;9999;9999;9999;330;7.72
28/01/2022 12:00;9999;9999;9999;9999;24;1.54
28/01/2022 13:00;9999;9999;9999;9999;353;1.54
28/01/2022 14:00;9999;9999;9999;9999;354;2.57
28/01/2022 15:00;9999;9999;9999;9999;348;2.57
28/01/2022 17:00;9999;9999;9999;9999;335;3.09
28/01/2022 18:00;9999;9999;9999;9999;313;3.6
28/01/2022 19:00;9999;9999;9999;9999;300;4.12
28/01/2022 20:00;9999;9999;9999;9999;300;4.12
28/01/2022 21:00;9999;9999;9999;9999;330;5.14
28/01/2022 22:00;9999;9999;9999;9999;320;4.12
29/01/2022 14:00;9999;9999;9999;9999;240;2.06
29/01/2022 15:00;9999;9999;9999;9999;40;1.54
29/01/2022 16:00;9999;9999;9999;9999;190;2.06
29/01/2022 17:00;9999;9999;9999;9999;180;1.54
29/01/2022 18:00;9999;9999;9999;9999;350;2.06
29/01/2022 19:00;9999;9999;9999;9999;340;3.09
29/01/2022 20:00;9999;9999;9999;9999;340;2.06
29/01/2022 21:00;9999;9999;9999;9999;350;2.57
29/01/2022 22:00;9999;9999;9999;9999;240;3.09
30/01/2022 13:00;9999;9999;9999;9999;180;3.09
30/01/2022 14:00;9999;9999;9999;9999;180;3.6
30/01/2022 15:00;9999;9999;9999;9999;210;5.14
30/01/2022 16:00;9999;9999;9999;9999;180;5.14
30/01/2022 17:00;9999;9999;9999;9999;170;4.63
30/01/2022 18:00;9999;9999;9999;9999;180;3.6
30/01/2022 19:00;9999;9999;9999;9999;200;6.17
30/01/2022 20:00;9999;9999;9999;9999;180;5.14
30/01/2022 21:00;9999;9999;9999;9999;200;4.63
30/01/2022 22:00;9999;9999;9999;9999;200;5.14
31/01/2022 3:00;9999;9999;9999;9999;180;5.66
31/01/2022 4:00;9999;9999;9999;9999;190;5.66
31/01/2022 12:00;9999;9999;9999;9999;180;4.63
31/01/2022 13:00;9999;9999;9999;9999;190;6.17
31/01/2022 14:00;9999;9999;9999;9999;190;8.23
31/01/2022 15:00;9999;9999;9999;9999;180;7.2
31/01/2022 16:00;9999;9999;9999;9999;190;6.69
31/01/2022 17:00;9999;9999;9999;9999;180;5.66
31/01/2022 18:00;9999;9999;9999;9999;200;5.14
31/01/2022 19:00;9999;9999;9999;9999;180;5.14
31/01/2022 20:00;9999;9999;9999;9999;180;5.66
31/01/2022 21:00;9999;9999;9999;9999;190;5.14
